Entity,Latitude,Longitude
Afghanistan,33.9391,67.71
Albania,41.1533,20.1683
Algeria,28.0339,1.6596
Angola,-11.2027,17.8739
Argentina,-38.4161,-63.6167
Australia,-25.2744,133.7751
Austria,47.5162,14.5501
Bangladesh,23.685,90.3563
Belgium,50.5039,4.4699
Brazil,-14.235,-51.9253
Canada,56.1304,-106.3468
China,35.8617,104.1954
France,46.6034,1.8883
Germany,51.1657,10.4515
Greece,39.0742,21.8243
India,20.5937,78.9629
Indonesia,-0.7893,113.9213
Iran,32.4279,53.688
Iraq,33.2232,43.6793
Italy,41.8719,12.5674
Japan,36.2048,138.2529
Liberia,6.4281,-9.4295
Malaysia,4.2105,101.9758
Mexico,23.6345,-102.5528
Nigeria,9.082,8.6753
Pakistan,30.3753,69.3451
Russia,61.524,105.3188
South Africa,-30.5595,22.9375
United Kingdom,55.3781,-3.436
United States,37.0902,-95.7129
